<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
04/01/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4538.93,4627.418,4445.138,4466.037,7295910394162
04/02/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4466.037,4531.685,4393.669,4531.685,6605907685533
04/03/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4531.685,4623.429,4531.81,4623.429,6608379526594
04/06/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4623.429,4811.827,4623.429,4811.827,7516921509936
04/07/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4811.827,4975.536,4721.721,4778.639,9594804607391
04/08/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4778.639,4780.215,4583.901,4626.695,6120312670746
04/09/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4626.695,4669.71,4562.902,4649.079,6729570437662
04/13/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4649.079,4659.03,4591.728,4623.894,5461751189212
04/14/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4623.894,4706.491,4624.205,4706.491,6028830280894
04/15/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4706.491,4747.725,4605.054,4625.905,7013638538124
04/16/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4625.905,4625.905,4463.811,4480.607,6535437355966
04/17/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4480.607,4637.242,4480.887,4634.821,7375839759151
04/20/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4634.821,4669.542,4573.774,4575.905,5407449124851
04/21/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4575.905,4575.905,4482.639,4501.919,6471840796447
04/22/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4501.919,4580.68,4441.09,4567.562,7905993995121
04/23/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4567.562,4629.026,4571.786,4593.554,6634943212278
04/24/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4593.554,4593.83,4496.064,4496.064,6232017985923
04/27/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4496.064,4541.312,4474.893,4513.141,5345752516286
04/28/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4513.141,4532.379,4494.47,4529.554,6245336496540
04/29/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4529.554,4568.665,4523.955,4567.323,6050148223783
04/30/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4567.323,4726.774,4567.4,4716.403,10305476050943
